risk_band,applicant_count,avg_risk_score,observed_default_rate,high_risk_flag_rate,avg_income,avg_credit,avg_annuity
Band 1 - Lowest Risk,61503,0.019928391568045524,0.013609092239402956,0.0,187254.32394688064,647014.785351934,29198.07142973285
Band 2,61502,0.0361399245163735,0.02858443627849501,0.0,171437.9120782251,641066.1992699425,27574.58231707317
Band 3,61502,0.0560511946373612,0.04970570062762186,0.0,166245.1601006471,617503.746138337,26835.615430271886
Band 4,61502,0.09035002827108053,0.08999707326591005,0.0,161169.98195684692,575197.1281340445,26167.953292682927
Band 5 - Highest Risk,61502,0.20110413057378593,0.22174888621508243,0.6719944066859614,157881.9183079412,514347.35935416736,25766.638987350005
