threshold,predicted_positive_count,predicted_positive_rate,precision,recall,f1_score,true_negative,false_positive,false_negative,true_positive
0.02,55718,0.9059395476643416,0.0879966976560537,0.9875125881168177,0.16159385659904751,5723,50815,62,4903
0.05,33787,0.5493553160008455,0.1259360108917631,0.8569989929506546,0.21960156895127994,27006,29532,710,4255
0.08,21013,0.3416581304976993,0.16665873506876697,0.705337361530715,0.26961274924936485,39027,17511,1463,3502
0.1,15607,0.2537599791880071,0.19279810341513423,0.6060422960725076,0.29253354073497956,43940,12598,1956,3009
0.15,8190,0.13316423589093215,0.25873015873015875,0.4267875125881168,0.32215887495248957,50467,6071,2846,2119
0.2,4560,0.07414272474513438,0.3125,0.28700906344410876,0.2992125984251969,53403,3135,3540,1425
0.3,1488,0.02419394175893859,0.4099462365591398,0.1228600201409869,0.18905935223926856,55660,878,4355,610
0.5,111,0.0018047900102434028,0.6486486486486487,0.014501510574018127,0.028368794326241134,56499,39,4893,72
